Station,Place,Local authority,Managed by,Station code,Travelcard Zone,Principal lines,Latitude,Longitude,DurationTerm,Terminus
Gidea Park,Gidea Park,Havering,National Express East Anglia,GDP,6,Great Eastern Main,51.582 ,0.2063,,
Gipsy Hill,Gipsy Hill,Lambeth,Southern,GIP,3,South London,51.4246 ,-0.084,,
Goodmayes,Goodmayes,Redbridge,National Express East Anglia,GMY,4,Great Eastern Main,51.5655 ,0.1109,,
Gordon Hill,Lavender Hill,Enfield,First Capital Connect,GDH,5,Hertford Loop,51.6632 ,-0.0943,,
Gospel Oak,Gospel Oak,Camden,London Overground,GPO,2,N L and G O to Barking,51.5552 ,-0.1514,,
Grange Park,Grange Park,Enfield,First Capital Connect,GPK,5,Hertford Loop,51.6431 ,-0.0969,,
Greenford,Greenford,Ealing,London Underground,GFD,4,Greenford Branch,51.5426 ,-0.3463,,
Greenwich,Greenwich,Greenwich,Southeastern,GNW,2,Greenwich,51.4782 ,-0.0134,,
Grove Park,Grove Park and Downham,Lewisham,Southeastern,GRP,4,Southeastern Main,51.4306 ,0.0219,,
Gunnersbury,Gunnersbury,Hounslow,London Underground,GUN,3,North London,51.4918 ,-0.275,,
Hackbridge,Hackbridge,Sutton,Southern,HCB,4,Sutton & Mole Valley,51.3778 ,-0.1539,,
Hackney Central,Hackney,Hackney,London Overground,HKC,2,North London,51.547 ,-0.0559,,
Hackney Downs,Hackney Downs,Hackney,National Express East Anglia,HAC,2,Lea Valley,51.5483 ,-0.0601,,
Hackney Wick,Hackney Wick,Tower Hamlets,London Overground,HKW,2,North London,51.5432 ,-0.0249,,
Hadley Wood,Hadley Wood,Enfield,First Capital Connect,HDW,6,East Coast Main,51.6688 ,-0.1761,,
Hampstead Heath,Hampstead,Camden,London Overground,HDH,3,North London,51.5553 ,-0.1654,,
Hampton,Hampton,Richmond,South West Trains,HMP,6,Shepperton Branch,51.4159 ,-0.3717,42,Waterloo
Hampton Court,East Molesey,Elmbridge,South West Trains,HMC,6,Hampton Court Branch,51.4028 ,-0.3425,32,Waterloo
Hampton Wick,Hampton Wick,Richmond,South West Trains,HMW,6,Kingston Loop,51.4141 ,-0.3107,36,Waterloo
Hanwell,Hanwell,Ealing,First Great Western,HAN,4,Great Western M,51.5116 ,-0.3389,,
Harlesden,Harlesden,Brent,London Underground,HDN,3,Watford DC,51.5363 ,-0.2581,,
Harold Wood,Harold Wood,Havering,National Express East Anglia,HRO,6,Great Eastern Main,51.5928 ,0.2343,,
Harringay,Harringay,Haringey,First Capital Connect,HGY,3,East Coast Main,51.577 ,-0.1052,,
Harringay Green Lanes,Harringay,Haringey,London Overground,HRY,3,Gospel Oak to Barking,51.5774 ,-0.0977,,
Harrow & Wealdstone,Wealdstone,Harrow,London Underground,HRW,5,"Watford DC, WCML",51.5921 ,-0.3347,,
Harrow-on-the-Hill,Harrow on the Hill,Harrow,London Underground,HOH,5,London to Aylesbury,51.5794 ,-0.337,,
Hatch End,Hatch End,Harrow,London Overground,HTE,6,Watford DC,51.6097 ,-0.3682,,
Haydons Road,Merton,Merton,First Capital Connect,HYR,3,Thameslink,51.4255 ,-0.188,,
Hayes,Hayes Kent,Bromley,Southeastern,HYS,5,Hayes,51.3765 ,0.0102,,
Hayes & Harlington,"Hayes, Hillingdon",Hillingdon,First Great Western,HAY,5,Great Western M,51.5031 ,-0.4203,,
Headstone Lane,Harrow Weald,Harrow,London Overground,HDL,5,Watford DC,51.6019 ,-0.3566,,
Hendon,Hendon,Barnet,First Capital Connect,HEN,4,Thameslink,51.58 ,-0.2389,,
Herne Hill,Herne Hill,Lambeth,Southeastern,HNH,2,Chatham Main,51.4533 ,-0.1021,,
Highams Park,Highams Park,Waltham Forest,National Express East Anglia,HIP,4,Chingford Branch,51.6084 ,-0.0001,,
Highbury & Islington,Highbury,Islington,London Underground,HHY,2,N London and N City,51.5458 ,-0.105,,
Hither Green,Hither Green,Lewisham,Southeastern,HGR,3,Dartford Loop,51.4519 ,-0.0008,,
Homerton,Homerton,Hackney,London Overground,HMN,2,North London,51.547 ,-0.0431,,
Honor Oak Park,Honor Oak,Lewisham,Southern,HPA,3,Brighton Main,51.4501 ,-0.0456,,
Hornsey,Hornsey,Haringey,First Capital Connect,HRN,3,East Coast Main,51.5862 ,-0.1116,,
Hounslow,Hounslow,Hounslow,South West Trains,HOU,5,Hounslow Loop,51.462 ,-0.3622,40,Waterloo
Ilford,Ilford,Redbridge,National Express East Anglia,IFD,4,Great Eastern Main,51.5586 ,0.0696,,
Isleworth,Isleworth,Hounslow,South West Trains,ISL,4,Hounslow Loop,51.4749 ,-0.337,37,Waterloo
Kenley,Kenley,Croydon,Southern,KLY,6,Caterham,51.3246 ,-0.1007,,
Kensal Green,Kensal Green,Brent,London Underground,KNL,2,Watford DC,51.5306 ,-0.2243,,
Kensal Rise,Kensal Green,Brent,London Overground,KNR,2,North London,51.5345 ,-0.2204,,
Kensington (Olympia),Olympia,Kensington and Chelsea,London Overground,KPA,2,West London,51.4985 ,-0.211,,
