1048,Abriachan,57,23.2,4,24.2,W,HL,Highland,O
1049,Abridge,51,38.8,0,7.1,E,EX,Essex,O
1050,Abronhill,55,57.4,3,56.8,W,NL,North Lanarkshire,O
1053,Abshot,50,50.8,1,16.1,W,HP,Hampshire,O
1055,Abson,51,28.1,2,25.5,W,SG,South Gloucestershire,O
1056,Abthorpe,52,6.8,1,3.5,W,NN,Northamptonshire,O
1058,Abune-the-hill,59,8.2,3,15,W,OK,Orkney Islands,O
1059,Aby,53,17,0,7.3,E,LL,Lincolnshire,O
1079,Acarsaid,56,46.9,5,57.2,W,HL,Highland,O
1085,Acaster Malbis,53,54.1,1,6.6,W,YK,York,O
1086,Acaster Selby,53,52,1,7.5,W,NY,North Yorkshire,O
1100,Acha,56,35.9,6,35.2,W,AR,Argyll and Bute,O
1102,Acha Mòr,58,9.8,6,34,W,WI,Na h-Eileanan an Iar,O
1105,Achachork,57,25.8,6,12.4,W,HL,Highland,O
1120,Achadh nan Darach,56,38.9,5,15.3,W,HL,Highland,O
1139,Achahoish,55,56.3,5,32.8,W,AR,Argyll and Bute,O
1147,Achaleven,56,26.9,5,23,W,AR,Argyll and Bute,O
1152,Achalone,58,29.3,3,27,W,HL,Highland,O
1159,Ach'an Tobhair,56,48.3,5,7.2,W,HL,Highland,O
1168,Achanelid,56,2.3,5,12.2,W,AR,Argyll and Bute,O
1175,Achaphubuil,56,50.4,5,8.4,W,HL,Highland,O
1177,Acharacle/Ath-Tharracail,56,44.5,5,48.1,W,HL,Highland,O
1181,Achargary,58,27.6,4,11.1,W,HL,Highland,O
1186,Acharn,56,34,4,1.6,W,PK,Perth and Kinross,O
1187,Acharn,56,52.5,3,10.4,W,AG,Angus,O
1208,Achavandra Muir,57,54.8,4,4.1,W,HL,Highland,O
1224,Achddu,51,41.4,4,15,W,CT,Carmarthenshire,O
1237,Achfary,58,18.7,4,54.6,W,HL,Highland,O
1239,Achfrish,58,4.7,4,26,W,HL,Highland,O
1240,Achgarve,57,52.8,5,34,W,HL,Highland,O
1244,Achiemore,58,30,3,53.8,W,HL,Highland,O
1246,Achiltibuie,58,1.3,5,20.7,W,HL,Highland,O
1249,Achina,58,30.8,4,13.4,W,HL,Highland,O
1262,Achininver,58,32.7,4,26.9,W,HL,Highland,O
